reason,source_file,line_no,platform,record_type,record_id,native_id,native_id_field,theme_id,s_cont,url,cont
empty_text,ig_message_data.txt,1721,Instagram,post,Instagram:post:3909529016927274567,3909529016927274567,mid,避孕服务是否应免除自付费用？,contraception access,https://www.instagram.com/p/DZBb-1lCEZH/,
empty_text,ig_message_data.txt,1722,Instagram,post,Instagram:post:3909529251330159699,3909529251330159699,mid,避孕服务是否应免除自付费用？,contraception access,https://www.instagram.com/p/DZBcCP4iHRT/,
empty_text,ig_message_data.txt,1723,Instagram,post,Instagram:post:3909529106693765595,3909529106693765595,mid,避孕服务是否应免除自付费用？,contraception access,https://www.instagram.com/p/DZBcAJLiDnb/,
empty_text,ig_message_data.txt,1760,Instagram,post,Instagram:post:3936812456542397330,3936812456542397330,mid,避孕服务是否应免除自付费用？,reproductive healthcare,https://www.instagram.com/p/DaiXhIziuOS/,
empty_text,ig_message_data.txt,1766,Instagram,post,Instagram:post:3936812716698276651,3936812716698276651,mid,避孕服务是否应免除自付费用？,reproductive healthcare,https://www.instagram.com/p/DaiXk7GCpMr/,
empty_text,ig_message_data.txt,1774,Instagram,post,Instagram:post:3936812621219149658,3936812621219149658,mid,避孕服务是否应免除自付费用？,reproductive healthcare,https://www.instagram.com/p/DaiXjiLCrda/,
empty_text,ig_message_data.txt,1778,Instagram,post,Instagram:post:3936812278611600742,3936812278611600742,mid,避孕服务是否应免除自付费用？,reproductive healthcare,https://www.instagram.com/p/DaiXejGCmVm/,
empty_text,ig_message_data.txt,1779,Instagram,post,Instagram:post:3936812536653583080,3936812536653583080,mid,避孕服务是否应免除自付费用？,reproductive healthcare,https://www.instagram.com/p/DaiXiTaipLo/,
empty_text,ig_message_data.txt,1783,Instagram,post,Instagram:post:3936812374250098931,3936812374250098931,mid,避孕服务是否应免除自付费用？,reproductive healthcare,https://www.instagram.com/p/DaiXf8KihDz/,
empty_text,ig_message_data.txt,1892,Instagram,post,Instagram:post:3857190468165894565,3857190468165894565,mid,是否应恢复或强化网络中立性规则？,net neutrality,https://www.instagram.com/p/DWHfktmDQGl/,
empty_text,ig_message_data.txt,2113,Instagram,post,Instagram:post:3870883450786317515,3870883450786317515,mid,小费收入是否应免税？,tipped workers,https://www.instagram.com/p/DW4I_1bDoTL/,
empty_text,ig_message_data.txt,2121,Instagram,post,Instagram:post:3860885337438541578,3860885337438541578,mid,小费收入是否应免税？,tipped workers,https://www.instagram.com/p/DWUnsIwidcK/,
empty_text,ig_message_data.txt,2190,Instagram,post,Instagram:post:3912397907491856004,3912397907491856004,mid,是否应提供带薪家庭假和育儿假？,paid parental leave,https://www.instagram.com/p/DZLoSsICJ6E/,
empty_text,ig_message_data.txt,2191,Instagram,post,Instagram:post:3912397751522435588,3912397751522435588,mid,是否应提供带薪家庭假和育儿假？,paid parental leave,https://www.instagram.com/p/DZLoQa3iCIE/,
empty_text,ig_message_data.txt,2195,Instagram,post,Instagram:post:3912397668190038712,3912397668190038712,mid,是否应提供带薪家庭假和育儿假？,paid parental leave,https://www.instagram.com/p/DZLoPNQiKq4/,
empty_text,ig_message_data.txt,2201,Instagram,post,Instagram:post:3912397987678584657,3912397987678584657,mid,是否应提供带薪家庭假和育儿假？,paid parental leave,https://www.instagram.com/p/DZLoT2ziP9R/,
empty_text,ig_message_data.txt,2205,Instagram,post,Instagram:post:3912397827540045287,3912397827540045287,mid,是否应提供带薪家庭假和育儿假？,paid parental leave,https://www.instagram.com/p/DZLoRhqiM3n/,
empty_text,ig_message_data.txt,2481,Instagram,post,Instagram:post:3938337476812905742,3938337476812905742,mid,政府是否应扩大纳洛酮等阿片过量急救药的获取？,addiction treatment,https://www.instagram.com/p/DanyRGnCp0O/,
empty_text,ig_message_data.txt,2487,Instagram,post,Instagram:post:3938337391869885624,3938337391869885624,mid,政府是否应扩大纳洛酮等阿片过量急救药的获取？,addiction treatment,https://www.instagram.com/p/DanyP3gCvy4/,
empty_text,ig_message_data.txt,2567,Instagram,post,Instagram:post:3925203459339070474,3925203459339070474,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5H7_pCiwK/,
empty_text,ig_message_data.txt,2568,Instagram,post,Instagram:post:3925203155159755914,3925203155159755914,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5H3kWiiyK/,
empty_text,ig_message_data.txt,2570,Instagram,post,Instagram:post:3925203077204413970,3925203077204413970,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5H2bwCg4S/,
empty_text,ig_message_data.txt,2573,Instagram,post,Instagram:post:3925203233115133081,3925203233115133081,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5H4s9CtSZ/,
empty_text,ig_message_data.txt,2574,Instagram,post,Instagram:post:3925203621146943386,3925203621146943386,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5H-WVil-a/,
empty_text,ig_message_data.txt,2578,Instagram,post,Instagram:post:3925203304745407654,3925203304745407654,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5H5vqihSm/,
empty_text,ig_message_data.txt,2582,Instagram,post,Instagram:post:3925203375830520386,3925203375830520386,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5H6x3itJC/,
empty_text,ig_message_data.txt,2585,Instagram,post,Instagram:post:3925203696560553939,3925203696560553939,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5H_ckir_T/,
empty_text,ig_message_data.txt,2589,Instagram,post,Instagram:post:3925203540717005018,3925203540717005018,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5H9Lbiuja/,
empty_text,ig_message_data.txt,2591,Instagram,post,Instagram:post:3925203787753079531,3925203787753079531,mid,美国是否应加强边境技术和监控？,border wall,https://www.instagram.com/p/DZ5IAxgCkLr/,
empty_text,ig_message_data.txt,2881,Instagram,post,Instagram:post:3450574169694325398,3450574169694325398,mid,气候变化是否应作为公共健康问题治理？,heat deaths,https://www.instagram.com/p/C_i5uznxMqW/,
empty_text,ig_message_data.txt,3474,Instagram,post,Instagram:post:3872262070746634126,3872262070746634126,mid,政府是否应扩大纳洛酮等阿片过量急救药的获取？,overdose reversal,https://www.instagram.com/p/DW9CdZUEleO/,
empty_text,ig_message_data.txt,3485,Instagram,post,Instagram:post:3872261980770404441,3872261980770404441,mid,政府是否应扩大纳洛酮等阿片过量急救药的获取？,overdose reversal,https://www.instagram.com/p/DW9CcFhEghZ/,
empty_text,ig_message_data.txt,4218,Instagram,post,Instagram:post:3932569496838934022,3932569496838934022,mid,医疗债务是否不应影响个人信用记录？,medical debt,https://www.instagram.com/p/DaTSx8pnw4G/,
empty_text,ig_message_data.txt,4220,Instagram,post,Instagram:post:3932569666565687566,3932569666565687566,mid,医疗债务是否不应影响个人信用记录？,medical debt,https://www.instagram.com/p/DaTS0auH8kO/,
empty_text,ig_message_data.txt,4221,Instagram,post,Instagram:post:3932569311207448722,3932569311207448722,mid,医疗债务是否不应影响个人信用记录？,medical debt,https://www.instagram.com/p/DaTSvPxH2CS/,
empty_text,ig_message_data.txt,4230,Instagram,post,Instagram:post:3932569834648196927,3932569834648196927,mid,医疗债务是否不应影响个人信用记录？,medical debt,https://www.instagram.com/p/DaTS23Qn1c_/,
empty_text,ig_message_data.txt,4231,Instagram,post,Instagram:post:3932569411619096389,3932569411619096389,mid,医疗债务是否不应影响个人信用记录？,medical debt,https://www.instagram.com/p/DaTSwtSH4dF/,
empty_text,ig_message_data.txt,4234,Instagram,post,Instagram:post:3932569746920176087,3932569746920176087,mid,医疗债务是否不应影响个人信用记录？,medical debt,https://www.instagram.com/p/DaTS1ljn_nX/,
empty_text,ig_message_data.txt,4236,Instagram,post,Instagram:post:3932569586664209113,3932569586664209113,mid,医疗债务是否不应影响个人信用记录？,medical debt,https://www.instagram.com/p/DaTSzQTn_rZ/,
empty_text,ig_message_data.txt,4237,Instagram,post,Instagram:post:3932569923181551839,3932569923181551839,mid,医疗债务是否不应影响个人信用记录？,medical debt,https://www.instagram.com/p/DaTS4JtnyDf/,
empty_text,ig_message_data.txt,4245,Instagram,post,Instagram:post:3932687062843058572,3932687062843058572,mid,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,https://www.instagram.com/p/DaTtgwhiOmM/,
empty_text,ig_message_data.txt,4254,Instagram,post,Instagram:post:3932686825135045423,3932686825135045423,mid,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,https://www.instagram.com/p/DaTtdTJCHsv/,
empty_text,ig_message_data.txt,4255,Instagram,post,Instagram:post:3932686986833836731,3932686986833836731,mid,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,https://www.instagram.com/p/DaTtfpvCDq7/,
empty_text,ig_message_data.txt,4256,Instagram,post,Instagram:post:3932686908056441539,3932686908056441539,mid,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,https://www.instagram.com/p/DaTtegXiJLD/,
empty_text,ig_message_data.txt,4261,Instagram,post,Instagram:post:3932687142962613080,3932687142962613080,mid,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,https://www.instagram.com/p/DaTth7JCEtY/,
empty_text,ig_message_data.txt,4262,Instagram,post,Instagram:post:3932686661288758235,3932686661288758235,mid,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,https://www.instagram.com/p/DaTta6jCIvb/,
empty_text,ig_message_data.txt,4269,Instagram,post,Instagram:post:3932687234356532079,3932687234356532079,mid,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,https://www.instagram.com/p/DaTtjQQiNNv/,
empty_text,ig_message_data.txt,4270,Instagram,post,Instagram:post:3932686742414991472,3932686742414991472,mid,平台是否应强制移除非自愿 AI 伪造私密影像？,Take It Down Act,https://www.instagram.com/p/DaTtcGGiKBw/,
empty_text,ig_message_data.txt,4455,Instagram,post,Instagram:post:3857140795862625002,3857140795862625002,mid,是否应要求更严格的枪支安全存储？,safe gun storage,https://www.instagram.com/p/DWHUR4qDyrq/,
