excel_row,task_key,topic_relevance,stance_expression,stance_direction,stance_change,is_usable,training_grade,annotation_reason,confidence,matched_topic_terms,annotation_status
77,1546e2d7a14347d12942d9e80c9fc7dfb0cb7ef9c11a1265358d835f72f0d61d,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Thread discusses government spending and taxpayer money but does not directly address medical debt or credit records. No stance on the topic is expressed.,medium,,completed_relaxed_ai_annotation
78,b1cd8c1d1a5e93e0679f4f983a3f4e3039b522d8a9335c31af943f9d138dfce4,relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The thread is relevant to the topic of medical debt but does not directly mention it in the conversation text. The discussion centers on the cancellation of debt, which is related to the policy question. The stance is implicit in the critique of the policy.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
79,cbfb011da009226a8f54cb586d31316aff79e87029f7a896a4039ef70c11807a,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic comment with no reference to medical debt or credit records.,high,,completed_relaxed_ai_annotation
80,eb4679eab109e842aeae3c4296f909d39c9b76443e00b423e241bb7e6464c996,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment is off-topic, referencing property taxes instead of medical debt in credit records.",high,,completed_relaxed_ai_annotation
81,5b60e44da420375565909c552cc26ddcaecc995ea08cc32f916cb44431a041fe,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment is relevant as it references the cancellation of medical debt, but it does not contain the exact term 'medical debt' and instead implies a stance through context.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
82,feaac23d0fa4efbd65dbae0d40e7957deec2e1659f81ba6b17e322768d3819fc,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address the policy question of whether medical debt should be excluded from credit records. It criticizes the source of funding for a policy but does not express a stance on the topic.,high,,completed_relaxed_ai_annotation
83,67ee43f91b9ce086c5ad3f9400a6d396ef709921188eeb2e822a300252ad4f0e,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks a stance on the policy question.,high,,completed_relaxed_ai_annotation
84,348be1ff1120f04b5d6decb1e40615d5674b9912611056ca55462f365c572d5a,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic due to non-text comment with no policy attitude.,high,,completed_relaxed_ai_annotation
85,b17236f56ee251bcf409c35ebb755d618d5d64b7dd10d1faac0f20952841bb21,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a non-text placeholder (GIPHY) with no policy attitude or stance on the topic.,high,,completed_relaxed_ai_annotation
86,9edc20032b9e8cd523a3ae6da7a63a905a8facc816ae8c7f8ab76057ab714221,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"The thread is off-topic as it contains no direct reference to medical debt or credit records. The comments are a brief, personal attack with no policy discussion.",high,,completed_relaxed_ai_annotation
87,cc6b2ceeee3600a82bf849f60b573713f4627e72562b006ae152aa428730b4d0,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic political attack with no stance on medical debt and credit records.,high,,completed_relaxed_ai_annotation
88,76f3db7d9016178ac5e1f4b440852a3ee26d10e25531e3c1e8062dc91206160e,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Thread discusses political preferences and personal attacks without addressing medical debt or credit records.,high,,completed_relaxed_ai_annotation
89,08d8ebb9f8b8c41d1dfa36acb0091e44800ad777c83e12de7f7d9292ef2aecf8,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment is relevant as it discusses the cancellation of medical debt, but it does not contain a direct match for the topic terms. The stance is implicit, opposing the post's claim, and the thread is usable as a generally usable sample.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
90,14d91a56296a9783762824c5ef6f07623a45daab684f2a2a0c50055fd678d88f,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The comment is relevant as it asks about the application process for medical debt relief, but it does not express a stance on whether medical debt should be excluded from credit records.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
91,f18ef12b2ae2dd663ba28f40b7279a11198b017ef323f7fbbd614a9a1c5f39e8,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The comment is relevant as it references the exclusion of medical debt from credit records, but it does not express a clear stance. The comment is short and lacks a reliable policy attitude.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
92,e1b41f38d58692810be6fe66ad12497d143efd095af24bc8093b79d88cc95b60,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address the policy question of excluding medical debt from credit records. It contains no stance on the topic.,high,,completed_relaxed_ai_annotation
93,d41a64b6ab94898ff4485a7d1361322b5bcc43aa137ea165568721f751af3e80,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic political campaign message unrelated to medical debt and credit records.,high,,completed_relaxed_ai_annotation
94,0587e22585b40dce4ee72e21625b10019c84933f0b1c39d81d8cfefa96507948,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,Strongly relevant to medical debt cancellation. Expresses implicit stance of opposition through sarcasm. Brief and lightly reasoned.,medium,Mine didnt get cancelled,completed_relaxed_ai_annotation
95,0f09f7d485a4391d15f83559412b5b454b5ffe6f3ad11f2fbe4cd779613f0578,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,Strongly relevant to medical debt policy; implicit stance opposing debt relief by asking for personal bailout.,medium,bail out,completed_relaxed_ai_annotation
96,c52923404a41ea2b85a4b1e8bdd44c1426dc284e291591b2e74c132e34dac0b1,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The thread is relevant as it discusses paying medical bills, but no clear stance on excluding medical debt from credit records is expressed.",medium,paid my bills,completed_relaxed_ai_annotation
97,10852a2a943f955d62bddf3310d0254ee8d47f4d6d6cd3ea2308718e6aae4ae4,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks a stance on the policy question of medical debt exclusion from credit records.,high,,completed_relaxed_ai_annotation
98,6e0e58892e0bfd7740d5492c54592ccd2be21f6bc67d1aa45cf2106464729844,relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,borderline_sample,"The comment is relevant as it discusses choosing between medication and electric bill charges, but it does not directly mention 'medical debt' or the topic of credit records. The stance is implicit in the criticism of 'stupid charges', but the connection to the topic is indirect.",medium,indirect_relevance:medical debt,completed_relaxed_ai_annotation
100,2b5f62a2a5626309069c8707d64d0fc0dba3728e86a38a0d123324a88358e11b,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a placeholder with no content related to the topic of medical debt and personal credit records.,high,,completed_relaxed_ai_annotation
101,9299b8a6e4d5a2ce146e4ad301d70019823b10cf35428f90d4c0823c8193c7f8,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and contains no direct reference to medical debt or credit records. It criticizes political systems and tax policies without addressing the core topic.,high,,completed_relaxed_ai_annotation
102,54b48ed64dbd1a9fd998dfc41be7be9801556b327816bf0a69f719697ad8f08e,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address the policy question of excluding medical debt from credit records.,high,,completed_relaxed_ai_annotation
103,2aef0f834fde4060b245cb3b8ec165910756c69c0494aa24cdc0029a07203624,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"The comment is off-topic as it criticizes the politician and calls for voting him out, with no direct reference to medical debt or credit records.",high,,completed_relaxed_ai_annotation
104,cccbbd5d8651f84527a4b28998373b0eeae58afae61813c32a175ecd8d09f2b8,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic comment with no stance; irrelevant to the topic of medical debt and credit records.,high,,completed_relaxed_ai_annotation
105,c3695f97b9940511a04599431dbeb04002c5421e608f0b74103f27df0ef029a1,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not directly address the policy question of excluding medical debt from credit records. It mentions debt but not in the context of credit records or policy exclusion.,high,,completed_relaxed_ai_annotation
106,e7238e74a31677dbce85a40425a5a41313adbe10ee988132039ff74acf14c74f,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks a stance on medical debt exclusion from credit records.,high,,completed_relaxed_ai_annotation
