keyword,pair_count,keep_count,keep_rate,irrelevant_rate,keyword_exact_match_rate,keyword_token_match_rate
immigration enforcement,56,33,0.5893,0.3929,0.5536,0.8571
in vitro fertilization,42,39,0.9286,0.0,0.119,0.1667
insulin prices,51,23,0.451,0.4706,0.2353,0.8235
internet subsidy,7,2,0.2857,0.7143,0.1429,0.8571
junk fees,48,14,0.2917,0.6875,0.2917,0.7292
kids online safety,54,3,0.0556,0.8889,0.0556,0.8519
KOSA,48,43,0.8958,0.0,1.0,1.0
living wage,54,24,0.4444,0.4815,0.4444,0.537
LNG exports,59,18,0.3051,0.6441,0.2712,0.6949
medical bills,54,21,0.3889,0.5741,0.3889,0.6852
medical debt,45,31,0.6889,0.3111,0.6889,0.8222
mental health access,60,2,0.0333,0.9333,0.0333,0.8333
naloxone,51,48,0.9412,0.0588,0.9412,0.9412
natural gas exports,15,3,0.2,0.8,0.1333,0.7333
net neutrality,55,25,0.4545,0.3091,0.4545,0.4545
no tax on tips,7,6,0.8571,0.1429,0.8571,1.0
online child safety,51,6,0.1176,0.8235,0.1176,0.7451
online therapy,15,3,0.2,0.8,0.2,0.6667
open internet,48,30,0.625,0.3333,0.5833,0.7917
overdose reversal,25,3,0.12,0.88,0.12,0.88
paid parental leave,33,24,0.7273,0.2424,0.6667,0.8182
paid prioritization,6,1,0.1667,0.8333,0.1667,0.1667
PBM reform,59,17,0.2881,0.7119,0.2881,0.6441
PFAS water,1,1,1.0,0.0,0.0,1.0
police accountability,54,21,0.3889,0.5,0.0556,0.6667
prescription drug prices,54,32,0.5926,0.3333,0.2963,0.7963
protect children online,49,1,0.0204,0.898,0.0204,0.8367
qualified immunity,45,33,0.7333,0.2667,0.7333,0.7556
rent too high,1,0,0.0,1.0,0.0,0.0
reproductive healthcare,45,8,0.1778,0.8222,0.1778,0.5556
reproductive rights,49,8,0.1633,0.7959,0.1429,0.449
revenge porn,27,11,0.4074,0.1852,0.4074,0.4074
safe gun storage,53,11,0.2075,0.7547,0.2075,0.7358
school lunch debt,3,2,0.6667,0.3333,0.6667,1.0
sensitive personal data,48,22,0.4583,0.25,0.2083,0.625
student debt,51,10,0.1961,0.7843,0.1961,0.7843
student loan default,7,0,0.0,1.0,0.0,1.0
Take It Down Act,49,28,0.5714,0.3878,0.5714,0.6531
telehealth mental health,54,21,0.3889,0.6111,0.1667,0.7037
TICKET Act,32,17,0.5312,0.4062,0.5312,0.8438
tipped workers,2,0,0.0,1.0,0.0,0.0
transgender athletes,51,33,0.6471,0.2745,0.5098,0.8431
vishing,48,48,1.0,0.0,1.0,1.0
voice cloning scam,48,36,0.75,0.1458,0.1458,0.8958
water filters,42,7,0.1667,0.619,0.1667,0.7381
zoning reform,13,5,0.3846,0.6154,0.3846,0.7692
