mid,record_id,native_id,platform,record_type,source_file,url,r_mid,r_url,topic,keyword,cont_clean,pt_iso_utc,lang,nlike,nrply,nfwd,nrd,user_uid,user_aname,user_sname,user_desc,user_nfans,keyword_exact_match,keyword_token_match,topic_token_match,text_word_count,has_url,has_media,topic_count_for_mid,multi_topic_noisy,relevance_label,relevance_confidence,relevance_reason,filter_mode,filter_version
Instagram:post:3361349831462345647,Instagram:post:3361349831462345647,3361349831462345647,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C6l6dzOIduv/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"#CyberCrimeAlert Stay vigilant! Tamil Nadu Police's Cyber Crime Wing warns of AI voice cloning scams. Fraudsters use AI to mimic voices of loved ones, creating fake emergencies to urge quick money transfers via UPI. Always verify before you act. Be aware by this scam and share this message with others. @tnpoliceofficial | @tncybercrimeoff #VoiceCloningScam | #StayVigilant #Ai | #StayAware | #SpreadAwareness | #TANGEDCO | #TNEB @tndipr | @cmotamilnadu",2024-05-05T15:49:07+00:00,en,12,0,-1,-1,54334187321,tangedco_official,TANGEDCO Official,,-1,false,true,true,62,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3366947369973882047,Instagram:post:3366947369973882047,3366947369973882047,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C65zMtMupy_/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,Beware! The latest cyber scam involves cloned voices deceiving relatives. Stay alert and protect your loved ones from falling prey to this silent threat. #VoiceCloningScam #CyberSecurityAlert #StayVigilant #ahmedabadmirrorofficial #ahmedabadmirror,2024-05-13T09:10:26+00:00,en,64,0,-1,-1,7879708051,ahmedabadmirrorofficial,Ahmedabad Mirror,,-1,false,true,false,29,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3399531840548625055,Instagram:post:3399531840548625055,3399531840548625055,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C8tkDKOh9qf/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,वॉयस क्लोनिंग स्कैम (Voice Cloning Scam) से रहें सावधान ! साइबर फ्रोड का शिकार होने पर Helpline 1930 या cybercrime.gov.in पर शिकायत करें। #voicecloningscam #fraud #CyberSecurity #cyberdost #cybersafety @cyberdosti4c @igpjaipur @policerajasthan,2024-06-27T08:09:57+00:00,en,32,0,-1,-1,8428525034,jaipur_rural_police,Jaipur Rural Police,,-1,true,true,false,48,false,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3400201148492551066,Instagram:post:3400201148492551066,3400201148492551066,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C8v8O30xhOa/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,वॉयस क्लोनिंग स्कैम (Voice Cloning Scam) से रहें सावधान ! साइबर फ्रोड का शिकार होने पर Helpline 1930 या http://cybercrime.gov.in पर शिकायत करें। #voicecloningscam #fraud #CyberSecurity #cyberdost #cybersafety #RajsamandPolice @policerajasthan,2024-06-28T06:19:44+00:00,en,68,0,-1,-1,11086948735,rajsamandpolice,Rajsamand Police Rajasthan,,-1,true,true,false,48,true,true,1,false,relevant,0.8,Keyword phrase appears in substantive text with supporting topic or policy context.,rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3407746429043158721,Instagram:post:3407746429043158721,3407746429043158721,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C9Kv1J7uS7B/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Beware of AI-Powered Voice Cloning Scams! 🚨 Scammers are getting smarter with AI voice cloning technology! They can mimic the voices of your loved ones to trick you into sending money under false pretenses. Remember to always verify unfamiliar email addresses and phone numbers. If someone you know reaches out from a new account, contact them through usual methods before taking any action. Stay vigilant and protect yourself! 💡 #AIAwareness #VoiceCloningScam #StaySafeOnline #TechAwareness #VerifyBeforeYouTrust #OnlineSafety #DigitalSecurity",2024-07-08T16:10:55+00:00,en,1,0,-1,-1,67173160817,hubflow.ai,HubFlowAI,,-1,false,true,true,75,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3443889465941250112,Instagram:post:3443889465941250112,3443889465941250112,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/C_LJzkHI1BA/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Tip of the Day: With the rise of AI voice cloning technology, you may have heard of scammers imitating a loved one's voice in distress to scam you out of money. They'll say they've been arrested or stranded and need cash immediately. If you are unsure if you're speaking to who you think you are, call the person you believe is being imitated on another line. If that person answers, you know the caller is a scammer. To be safe, you can always use a code word that only you and that person would know when you call each other. ""Everything has its beauty, but not everyone sees it."" - Confucious #urbanladyprepper #AI #AItechnology #voicecloningscam #personalsafety #prepper #prepping #tips #tipsandtricks #urbanprepper #tipoftheday",2024-08-27T13:00:38+00:00,en,2,2,-1,-1,55997662696,urbanladyprepper,Urban Lady Prepper,,-1,false,true,true,125,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3469830579638270993,Instagram:post:3469830579638270993,3469830579638270993,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DAnUIc6IHwR/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,Don't Fall for the Imposter! AI Voice Cloning Scams Targeting Unsuspecting Victims - Verify Callers & Stay Vigilant! . . #VoiceCloningScam #AIScamAlert #CyberSecurityAwareness #IdentityTheftProtection #OnlineSafetyTips #DigitalSecurity #ProtectYourIdentity #ScamAlert #StayVigilant #CyberAware,2024-10-02T08:00:00+00:00,en,3,0,-1,-1,52956589212,thecybernectar,Thecybernectar,,-1,false,true,true,27,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3493289781691588559,Instagram:post:3493289781691588559,3493289781691588559,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DB6qIxXOp_P/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"Echoes of Deception The rain drummed against Harriette's apartment windows as she stared at her phone, her hands trembling. What she heard on her voicemail was unmistakably her voice, yet she'd never made that call begging her grandmother for emergency money. Three other friends had just texted, asking about similar suspicious calls they'd received. Her throat tightened as she realized what had happened. Those podcast interviews she'd done for her small business – someone had used them to clone her voice. The AI-generated calls had already convinced her cousin to send $2,000 to a scammer! Harriette's fingers flew across her keyboard as she documented everything. She recorded new voicemails for her contacts, explaining the situation: ""If you get a call from me asking for money, it's not real. It's an AI clone."" Her voice cracked, but she kept recording. She contacted the police, her bank, and the FBI's Internet Crime Complaint Center. Then she did something unexpected – she went public. On her business's social media, she shared her story, explaining how voice cloning worked and warning others. Her post went viral within her community. Local news picked up the story. Instead of hiding in shame, Harriette turned her ordeal into a crusade. She organized workshops with senior centers about AI scam awareness. Her grandmother proudly attended each one. Two months later, on another rainy Sunday, Harriette smiled as she received a different kind of call – a tech journalist wanting to interview her about her advocacy work. This time, when her voice would be recorded, it would be on her own terms, helping others protect themselves from the very technology that had once been used against her. The rain still fell outside, but it no longer felt threatening. She had transformed her fear into power, her silence into a voice of warning and hope for others. #voicecloningscam #protectyourvoice #awareness #staysafe",2024-11-03T16:50:14+00:00,en,1,0,-1,-1,70094804447,steamedchameleon,Steamed Chameleon,,-1,false,true,true,319,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3565868284547946252,Instagram:post:3565868284547946252,3565868284547946252,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DF8gk_gT9cM/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"💡 Tip Tuesday: Protect Yourself from AI Voice Scams 🎙️🚨 Scammers are now using AI to clone voices and trick people into believing their loved ones are in danger. Here's how to stay safe: 1️⃣ Be Skeptical of Urgent Calls: If someone claims to be a family member in distress and asks for money, pause and verify before acting. 2️⃣ Use a Safe Word: Set up a unique phrase with close family members that only they would know in an emergency. 3️⃣ Verify the Caller: Hang up and call the person back on a known number to confirm their identity. 4️⃣ Limit What You Share Online: Scammers use social media to gather voice clips—adjust your privacy settings and be mindful of what you post. Stay alert and don't let AI scammers fool you! 🕵️‍♂️ #TipTuesday #AIScams #StaySafe #VoiceCloningScam",2025-02-11T20:10:47+00:00,en,0,0,-1,-1,57774555163,atlantis_pi,Atlantis Private Investigations,,-1,false,true,true,138,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3583469472674911028,Instagram:post:3583469472674911028,3583469472674911028,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DG7Cn_WPpM0/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🚨 Beware of AI Voice Cloning Scams! 🎙️⚠️ Scammers are now using AI to clone voices and trick people into transferring money! With just a few seconds of your voice, they can create fake calls that sound exactly like your loved ones. 😨📞 🚨 Real Incidents in India: 🔴 Mumbai: A businessman lost ₹80,000 after hearing his ""son's"" voice begging for bail! 💸 🔴 Delhi: A CEO almost wired money after getting a fake call from his boss! 🚫 🔴 Madhya Pradesh: A mother was scammed ₹50,000 after hearing her ""daughter"" cry for help! 😢 🛑 How to Stay Safe: ✅ Always verify the caller by calling them back on their known number. 📲 ✅ Use secret passcodes with family for emergencies. 🔑 ✅ Be cautious on social media—scammers use your voice from videos! 🎥 ✅ Don't rush to transfer money based on emotional calls! ⏳ ⚠️ If you get a suspicious call, hang up and double-check! Spread the word to protect your friends & family! 💙 #AIScam #VoiceCloningScam #StaySafe #CyberCrime #FraudAlert #Guwahati #Shillong #Itanagar #Kohima #Imphal #Aizawl #Agartala",2025-03-08T03:01:11+00:00,en,1,0,-1,-1,56897928575,bamelocentral,Mohit Jajodia,,-1,false,true,true,163,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3594905068308722831,Instagram:post:3594905068308722831,3594905068308722831,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DHjqxztyvSP/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"⚠️ Beware of Voice Cloning Scams! ⚠️ Scammers are now using AI-powered voice cloning to impersonate your loved ones! They can steal a short audio clip from social media or a phone call and use it to create fake distress calls asking for money or sensitive information. 🔴 How to Stay Safe: ✅ Verify the Caller – Hang up and call the person back directly. ✅ Use a Safe Word – Set up a family code word for emergencies. ✅ Be Skeptical – Unexpected urgent requests for money should raise red flags. ✅ Limit Your Voice Data – Be mindful of sharing voice recordings online. Stay alert, think before you act, and always double-check! 🛡️ #VoiceCloningScam #AIThreat #StayCyberSafe #FraudAwareness #cybercrimes #cyberawareness #cyberthreats",2025-03-23T21:41:40+00:00,en,0,0,-1,-1,67462234732,cyber_security_awarenesses,Cyber security awareness,,-1,false,true,false,112,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
Instagram:post:3600870204177206983,Instagram:post:3600870204177206983,3600870204177206983,Instagram,post,ig_message_data.txt,https://www.instagram.com/p/DH43F9aRU7H/,,,AI 语音诈骗是否应强制披露或限制？,voice cloning scam,"🔊 If it looks like a duck and quacks like a duck… it might be AI. Scammers are now using AI voice cloning to imitate your loved ones, coworkers, or bosses, trying to trick you into sending money or revealing sensitive information. 🚨 Stay one step ahead! ✔️ Verify before you act – Call back on a known number. ✔️ Set a safe word – Agree on a phrase only real contacts would know. ✔️ Think before you send – Urgency is a red flag! 🔐 This AI Fools Week, take control of your security. Protect yourself and those around you! Tag a friend to spread awareness. ⬇️ #AIFools #VoiceCloningScam #CyberSecurity #StaySafeOnline #FraudAwareness",2025-04-01T03:13:20+00:00,en,0,0,-1,-1,68292819386,netwk_pro,Network Pro Strategies,,-1,false,true,true,103,false,true,1,false,weakly_relevant,0.68,"Core topic phrase appears, but the post does not clearly discuss the policy question.",rule,rule_v1.3_multi_platform_2026-07-02
